Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,DailyHours,TariffRate,ElectricityBill
6,1,1,0,0,1,9,6.0,13.6,7585.79
3,1,2,4,2,2,6,13.8,21.9,56206.37
10,2,1,3,1,2,3,9.3,16.5,20327.54
7,2,2,0,0,2,7,15.6,6.9,19534.99
4,1,2,4,0,1,6,17.3,6.5,18157.81
6,3,0,1,1,0,5,5.2,15.7,2783.79
9,1,2,4,0,2,8,12.6,14.3,34388.75
2,2,3,4,2,1,4,4.4,11.5,9057.86
6,2,2,0,1,1,2,8.5,20.1,21850.23
10,1,1,0,3,1,12,7.8,15.9,12321.77
10,0,3,2,1,1,12,17.8,18.7,60501.63
7,3,0,3,1,0,7,8.0,13.2,4637.5
4,1,3,1,0,1,7,14.2,13.4,41031.65
3,2,3,4,0,0,6,4.4,12.0,10081.53
7,3,3,0,3,0,6,17.1,13.0,42374.14
7,0,3,4,1,1,3,6.0,18.6,20344.84
2,3,3,4,1,1,4,5.3,19.5,19133.54
5,1,1,4,1,0,10,17.2,6.8,9386.19
4,2,3,4,0,2,8,5.2,14.9,18486.13
1,2,1,1,3,0,9,11.6,15.3,12020.16
7,2,1,1,2,1,7,13.5,5.1,7855.17
5,3,1,1,0,2,11,11.3,7.1,10206.37
1,1,0,1,2,2,11,12.9,13.6,9878.64
4,1,3,2,3,2,2,11.0,21.6,44679.36
0,3,2,0,1,0,5,10.8,8.8,11875.39
9,3,0,3,0,1,8,9.7,22.9,16279.11
5,0,2,3,0,0,4,11.5,14.1,18333.0
8,2,3,0,0,1,6,5.1,15.4,17107.74
0,3,3,3,1,2,4,9.3,6.1,11366.29
10,2,2,2,1,0,5,10.3,16.7,25274.68
10,0,1,0,1,0,2,10.6,24.7,17829.28
9,1,3,3,2,1,10,10.4,23.4,48609.05
2,2,2,4,2,2,7,12.7,14.6,32478.1
6,3,0,2,2,2,12,10.1,11.8,9246.85
3,3,2,3,0,1,10,14.0,15.7,31645.73
8,0,0,2,3,0,2,17.7,15.9,8289.66
2,2,0,0,0,2,11,12.3,8.8,6576.85
4,1,3,0,2,2,1,16.1,23.0,65907.23
2,1,0,0,1,0,4,13.4,22.5,3218.58
6,3,3,3,3,2,12,6.6,14.8,20914.44
4,0,2,1,0,2,12,6.3,15.0,14826.04
8,3,1,2,2,1,6,12.3,21.9,29929.76
6,3,0,3,0,1,4,6.6,14.6,5839.05
1,3,3,2,0,2,1,5.1,15.2,16032.99
3,3,1,4,3,0,12,17.8,14.9,23120.05
8,0,0,0,2,1,7,11.4,15.5,8316.6
1,3,2,0,2,1,2,11.2,19.4,26863.18
9,2,0,1,1,1,9,14.9,13.2,14145.45
8,3,2,0,3,0,4,12.1,13.1,20308.83
9,3,2,4,1,1,6,10.6,20.5,38160.9
4,1,2,2,3,0,7,10.4,22.6,31795.65
1,1,2,3,3,1,12,17.5,16.8,41322.75
3,0,3,0,0,2,7,4.5,15.0,14341.16
6,0,3,3,1,0,10,7.7,13.0,16723.28
7,2,3,1,2,2,6,13.1,8.3,27980.97
2,3,1,0,2,2,3,4.2,17.8,7910.16
0,1,2,1,0,1,6,13.4,16.6,28958.82
3,2,0,2,1,0,8,11.0,20.6,6013.68
1,2,1,2,3,0,3,11.8,7.6,6234.63
7,0,1,4,2,1,6,13.0,16.1,23081.81
3,1,1,0,1,1,10,10.2,19.9,16483.68
1,3,1,3,3,0,12,8.5,14.0,9270.34
5,0,0,0,3,1,9,14.6,5.9,3916.79
5,2,2,2,0,0,10,14.0,11.2,16904.33
9,2,0,1,3,2,8,7.8,19.5,14072.22
3,1,2,4,0,1,9,12.4,21.9,44226.68
5,1,1,3,3,2,8,14.4,10.1,19743.07
1,3,1,1,3,2,2,12.5,24.5,33628.09
9,1,3,3,3,0,5,7.5,24.5,34418.77
1,1,3,4,2,0,5,8.2,5.3,8469.3
9,0,1,4,0,0,8,4.6,17.8,6483.6
3,0,1,3,1,1,12,6.9,5.5,3254.62
7,3,2,2,1,2,10,8.4,16.2,22718.51
6,0,1,1,1,2,7,15.1,22.8,45432.23
8,3,2,1,2,2,8,9.4,18.2,32456.25
7,0,1,0,1,1,1,17.4,12.1,16855.99
4,2,0,1,2,1,11,17.8,24.9,21077.45
1,0,1,2,1,1,6,10.2,22.6,19719.68
4,3,2,2,0,0,4,11.7,5.2,7267.97
